Male;Feeling;Person
0;steady;other
0;steady;cristina
0;steady;other
0;steady;cristina
1;angry;other
1;steady;other
0;steady;other
0;sad;other
0;sad;other
0;steady;other
0;happy;other
0;steady;other
0;steady;other
0;steady;other
1;steady;other
1;steady;other
0;steady;other
0;happy;other
0;steady;other
0;sad;other
0;sad;other
0;steady;other
0;steady;other
0;steady;other
0;angry;other
0;steady;other
0;steady;other
0;happy;other
0;steady;other
0;happy;other
0;angry;other
0;happy;other
1;sad;other
1;sad;other
1;sad;other
1;steady;other
1;steady;other
1;steady;other
0;steady;other
1;steady;other
1;steady;other
1;steady;other
1;steady;other
1;steady;other
1;steady;other
1;steady;other
1;angry;other
0;angry;other
1;happy;other
1;happy;other
1;steady;other
0;happy;other
0;happy;other
0;steady;other
1;happy;other
1;sad;other
1;sad;other
0;angry;other
0;angry;other
0;happy;other
0;angry;other
0;angry;other
0;angry;other
0;sad;other
0;happy;other
0;happy;other
1;sad;other
1;sad;other
0;sad;other
1;sad;other
1;sad;other
1;sad;other
1;sad;other
1;sad;other
