relative_time,PitchSensor,DecibelSource
0,0.0,28.59138297294531
35,0.0,25.05149978319906
102,0.0,30.064660422492317
170,0.0,29.68015713993642
235,0.0,28.337843746564786
302,0.0,27.860412102425542
371,0.0,29.818186071706634
435,0.0,26.766936096248667
501,0.0,31.705550585212087
573,0.0,30.21189299069938
635,0.0,28.830933585756902
702,0.0,28.014037100173553
773,0.0,29.02546779313991
835,0.0,29.86771734266245
902,0.0,30.83860800866573
973,0.0,29.222062774390164
1035,0.0,31.152775913959015
1102,0.0,31.37354111370733
1173,0.0,31.604685311190373
1235,0.0,30.24074987307426
1302,0.0,31.699681739968923
1373,0.0,32.995072987004875
1435,0.0,32.19584526214255
1502,0.0,29.59518376972998
1569,0.0,32.113875529368585
1635,0.0,31.072099696478684
1702,,33.115419584011946
1770,88.011962890625,31.26780577012009
1835,88.011962890625,32.81714970027296
1901,0.0,31.37354111370733
1971,0.0,30.9968064110925
2035,0.0,29.532763366673045
2101,0.0,27.88168371141168
2171,0.0,28.48189116991399
2235,0.0,29.916690073799487
2301,0.0,28.518696007297663
2373,0.0,29.111576087399765
2435,0.0,30.064660422492317
2502,0.0,29.740509027928773
2573,0.0,28.639173769578605
2635,0.0,30.141003215196207
2702,,38.247114434647344
2771,,33.59835482339888
2835,188.1720344387755,30.034605321095068
2902,0.0,36.922298357727556
2972,,34.92061604512599
3035,,30.913151596972227
3101,97.53580729166667,31.03119253545714
3171,0.0,40.005208409361856
3235,,33.15760490665735
3302,180.72916666666669,33.564083270389816
3373,180.72916666666669,37.155855518931965
3435,92.48070126488096,32.83753383332527
3502,62.53208705357143,31.482940974347457
3573,,36.20552444729435
3635,,30.437551269686796
3702,1370.46875,39.09020854211156
3773,,45.99348058502406
3835,178.06640625,46.03901831731672
3902,171.5014002562831,35.71242850560224
3973,171.5014002562831,34.412236742426124
4035,136.765625,30.24074987307426
4102,0.0,33.382572302462556
4173,,29.689496809813427
4235,88.69803292410714,37.7662855342015
4302,88.69803292410714,32.15373152783422
4373,,30.685568950723628
4435,0.0,30.56142262059052
4501,,31.218879851036814
4573,,36.581068355063934
4635,212.134765625,35.89167390546048
4702,209.60379464285714,36.2797998982998
4773,206.62093874007937,36.0336092434838
4835,,28.102325179950842
4902,,31.889284837608535
4971,387.5,32.662316966898935
5035,,31.743505974793802
5102,256.71875,31.858253596129625
5173,,33.287872003545345
5235,,32.778383330020475
5302,53.520089285714285,30.809870469108873
5373,0.0,28.94869656745253
5435,0.0,29.479236198317263
5502,0.0,34.72610197596045
5573,,29.694159123539812
5635,76.75390625,32.35275876687052
5702,95.96223958333333,41.43826390839561
5771,,33.63799945479109
5835,,35.68788212315347
5902,96.376953125,32.37794993273922
5973,,30.4493154614916
6035,0.0,31.631613749770185
6102,0.0,38.86829004676982
6173,,46.088040641810686
6235,96.11272321428572,47.553182974989625
6302,,45.09081494622524
6373,140.669921875,40.38977622332692
6435,140.669921875,33.02114376956201
6502,126.07142857142857,32.62213705476417
6573,83.75744047619048,31.420764610732846
6635,0.0,30.301947853567516
6702,0.0,32.14843848047698
6773,0.0,31.869563354654122
6835,0.0,32.08710019906401
6902,0.0,32.043913319192995
6971,,31.448854182871422
7035,,31.448854182871422
7102,260.51171875,33.44195715871435
7173,185.38740079365076,30.982975364946977
