ID Registration;Gender;Feeling;Person
sl Registrazione 1;1;angry;other
sl Registrazione 2;0;happy;other
sl Registrazione 3;1;serious;other 
sl Registrazione 4;1;sad;other
sl Registrazione 5;0;angry;other
sl Registrazione 6;0;sad;other
sl Registrazione 7 ;1;happy;other
sl Registrazione 8;0;happy;other
sl Registrazione 9 ;0;serious;other
sl Registrazione 10;1;happy;other
sl Registrazione 11;0;happy;other
sl Registrazione 12;1;serious;mario
sl Registrazione 13;1;happy;mario
sl Registrazione 14;1;serious;giuliano
sl Registrazione 15;1;angry;mario
sl Registrazione 16;1;happy;mario
sl Registrazione 17;0;serious;other
sl Registrazione 18;0;serious;other
sl Registrazione 19;1;happy ;mario
sl Registrazione 20;0;serious;other
sl Registrazione 21;0;serious;other
sl Registrazione 22;1;serious;mario
sl Registrazione 23;1;serious;giuliano
sl Registrazione 24;0;serious;other
sl Registrazione 25;0;serious;other
sl Registrazione 26;1;serious;mario
sl Registrazione 27;0;serious;cristina
sl Registrazione 28;0;happy;other
sl Registrazione 29;1;happy;mario
sl Registrazione 30;1;happy;mario
sl Registrazione 31;1;serious;mario
sl Registrazione 32;1;happy;mario
sl Registrazione 33;1;serious;other
sl Registrazione 34;1;happy ;mario
sl Registrazione 35;0;sad;other
sl Registrazione 36;0;serious;other
sl Registrazione 37;0;sad;other
sl Registrazione 38;0;sad;other
sl Registrazione 39;0;sad;other
sl Registrazione 40;0;sad;other
sl Registrazione 41;0;serious;other
sl Registrazione 42;1;serious;other
sl Registrazione 43;1;happy;other
sl Registrazione 44;1;happy;other
sl Registrazione 45;1;serious;other
sl Registrazione 46;1;serious;other
sl Registrazione 47;1;serious;other
sl Registrazione 48;0;happy;other
sl Registrazione 49;0;happy ;other
sl Registrazione 50;0;serious;cristina
sl Registrazione 51;1;serious;mario
sl Registrazione 52;1;serious;mario
sl Registrazione 53;1;serious;mario
sl Registrazione 54;1;serious;mario
sl Registrazione 55;0;happy;other
sl Registrazione 56;0;serious;other
sl Registrazione 57;1;happy;mario
sl Registrazione 58;1;angry;other
sl Registrazione 59;1;angry;other
sl Registrazione 60;1;angry;other
sl Registrazione 61;1;angry;other 
