Male;Feeling;Person
1;angry;other
0;happy;other
1;steady;other 
1;sad;other
0;angry;other
0;sad;other
1;happy;other
0;happy;other
0;steady;other
1;happy;other
0;happy;other
1;steady;mario
1;happy;mario
1;steady;giuliano
1;angry;mario
1;happy;mario
0;steady;other
0;steady;other
1;happy ;mario
0;steady;other
0;steady;other
1;steady;mario
1;steady;giuliano
0;steady;other
0;steady;other
1;steady;mario
0;steady;cristina
0;happy;other
1;happy;mario
1;happy;mario
1;steady;mario
1;happy;mario
1;steady;other
1;happy ;mario
0;sad;other
0;steady;other
0;sad;other
0;sad;other
0;sad;other
0;sad;other
0;steady;other
1;steady;other
1;happy;other
1;happy;other
1;steady;other
1;steady;other
1;steady;other
0;happy;other
0;happy ;other
0;steady;cristina
1;steady;mario
1;steady;mario
1;steady;mario
1;steady;mario
0;happy;other
0;steady;other
1;happy;mario
1;angry;other
1;angry;other
1;angry;other
1;angry;other 
0;steady;other
0;steady;other
1;steady;mario
1;steady;mario
0;steady;other
0;happy;other
0;steady;other
1;steady;mario
0;happy;other
0;steady;cristina
1;steady;mario
0;steady;cristina
0;steady;cristina
0;steady;other
1;happy;other
0;angry;other
0;happy;other
0;happy;other
0;sad;other
0;sad ;other
0;sad ;other
0;angry;other
0;sad ;other
0;angry;other
0;happy;other
0;angry;other
0;angry;other
0;angry;other
0;angry;other
0;angry;other
0;angry;other
0;angry;other
0;angry;other
0;angry;other
0;angry;other
0;angry;other
0;angry;other
0;angry;other
0;angry;other
0;angry;other
0;angry;other
0;angry;other
0;angry;other
0;sad;other
0;sad;other
0;sad;other
1;sad;other
1;sad;other
1;angry;other
1;angry;other
1;angry;other
1;angry;other
1;happy;other
1;happy;other
1;happy;other
1;happy;other
1;happy ;other
1;happy;other
1;happy;other
1;happy;other
1;happy;other
1;happy;other
1;happy;other
1;happy ;other
1;happy ;other
1;happy;other
1;happy ;other
1;happy ;other
1;happy;other
